名称,工艺功能,位置,电源功能,设备编码
W变径管件,=TA001.ST01.TT01.UN.UN18,,,
卫生间、走道照明,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N3,
AH7柜顶电源小母线,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.4,
弱电桥架3配件,=TA001.EY01.TY01.RF.UN11,,,
安全照明灯: MX1-N4,=TA001.EY01.TE04.BF01.US10.EA01,++BF01.US10.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N4.SF02.,AGL0101
吸顶式报警扬声器,=TA001.TB01.FA01.BF02.PJ02,++BF02.,,
移动加日光感应探头,=TA001.EY01.TE04.,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5.BG05,MDS0109
超声波液位计LT4,=TA001.BJ01.TS01.BL04,++BF02.US02.,,ULG0104
控制间地插,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N1,
火灾声报警器: 标准,=TA001.TB01.FA01.ALRM.SF21,,,
排风扇: KX-9,=TA001.TL01.BF01.GQ07,++BF01.US04.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N9.SF01.,SF0101
照明灯具: SMX1-N2,=TA001.EY01.TE04.BF01.US05.EA10,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N2.BG01.,FPL0101
W三通管件,=TA001.ST01.TT01.UN.UN11,,,
火灾光报警器: 标准,=TA001.TB01.FA01.ALRM.SF08,,,AVA0101
照明灯具: SMX1-N1,=TA001.EY01.TE04.BF01.US05.EA02,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N1.BG01.,FPL0104
单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N6.XD02,PS0102
W三通管件,=TA001.ST01.TT01.UN.UN12,,,
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US04.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N3.BG01,MDS0125
带云台的摄像机: 标准,=TA001.TB01.VS01.SEVI010,,,CCTV0303
梯形桥架,=TA001.EY01.TY01.QJ6,,,
室内半球,=TA001.TB01.VS01.AF09,++BF01.US10.,,CCTV0105
语音+数据点,=TA001.TB01.TN01.BF01.US09.TD01,++BF01.US09.,,
吸顶式报警扬声器,=TA001.TB01.FA01.BF02.PJ04,++BF02.,,
手动报警按钮: 标准,=TA001.TB01.FA01.ALRM.SF04,,,MFAB0104
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ12,,,ISD0110
壁灯 - 托架: BMX1-N1,=TA001.EY01.TE04.BF02.EA10,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N1.,AGL0109
单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N9.XD01,PS0105
接线端子箱卫生间,=TA001.EY01.TE03.,++BF01.US04.,,ETB0105
4#雨水泵按钮箱 GK4,=TA001.EY01.TE03.,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP8O.1.1.,WPB0104
J通用管件,=TA001.ST01.TS01.UN.UN05,,,
UPS柜: UPS柜,=TA001.EY01.TE03.,++BF01.US05.,,UPS0101
0.4KV出线,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP8O,
泵站检修箱 JX1,=TA001.EY01.TE03.,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.6.,MB0101
J通用管件,=TA001.ST01.TS01.UN.UN06,,,
防水防尘防震防眩灯,=TA001.EY01.TE04.BF02.EA01,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N1.,AGL0111
暖通通风系统,=TA001.TL01,,,
J通用管件,=TA001.ST01.TS01.UN.UN12,,,
变压器室1走道火灾报警系统,=TA001.TB01.FA01.BF01.US08,,,
0.4KV馈线柜,=TA001.EY01.TE02.,++BF01.US09.,===DY2.AH12.H02.ZB2.D1DP12.3.,LDC0306
3-5轴泵房照明1,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N1,
照明灯具: SMX1-N2,=TA001.EY01.TE04.BF01.US05.EA11,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N2.BG01.,FPL0102
2#变压器柜ZB2，输出0.4KV D1,=TA001.EY01.TE03.,++BF01.US10.,===DY2.AH12.H02.,TR0102
控制间 分体式柜式空调,=TA001.TL01.BF01.EZ03,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N3.XD01.,
智能光电感烟探测器,=TA001.TB01.FA01.BF01.US11.BQ01,++BF01.US11.,,MDS0121
弱电桥架1,=TA001.EY01.TY01.QJ1,,,
雨水泵_GK4-1,=TA001.BJ01.PP01.GP04,++BF02.US01.,===DY2.AH12.H02.ZB2.D1DP12.3.DP8O.1.1.1.,CP0104
语音+数据点,=TA001.TB01.TN01.BF01.US02.TD01,++BF01.US02.,,
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ13,,,ISD0111
管形母线桥架2配件,=TA001.EY01.TY01.UF.UN05,,,
XBDZ-5（风机）: K5-3,=TA001.TL01.BF02.GQ03,++BF02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.8.F3.,AF0203
0.4KV分段柜,=TA001.EY01.TE02.,++BF01.US09.,,LDC0107
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N11,
5#水泵按钮箱 GK5,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP9O.1.1,
直流屏,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.4,DCP0101
J通用管件,=TA001.ST01.TS01.UN.UN01,,,
监控器,=TA001.TB01.VS01.AF04,++BF01.US07.,,
照明灯具: SMX1-N1,=TA001.EY01.TE04.BF01.US05.EA06,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N1.BG01.,FPL0108
安全照明灯: SMX1-N1,=TA001.EY01.TE04.BF01.US01.EA07,++BF01.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N1.,EEL0202
复合感烟感温探测器: 点型,=TA001.TB01.FA01.FRSN.BQ17,,,ITD0101
一位单控暗开关,=TA001.EY01.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F4.SF01,
梯形电缆桥架配件,=TA001.EY01.TY01.EF.UN01,,,
语音+数据点,=TA001.TB01.TN01.BF01.US03.TD02,++BF01.US03.,,
照明灯具: SMX1-N5,=TA001.EY01.TE04.BF01.US06.EA04,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N5.BG01.,SSL0404
休息室1 分体式挂式空调,=TA001.TL01.BF01.EZ01,++BF01.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N4.XD01.,
交流屏: 交流屏,=TA001.EY01.TE03.,++BF01.US05.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.,ACP0101
变压器ZB2温控装置,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.2,
智能光电感烟探测器,=TA001.TB01.FA01.BF01.US08.BQ01,++BF01.US08.,,MDS0105
10KV电压互感器柜,=TA001.EY01.TE01.,++BF01.US06.,===DY1.AH1.,HSC0301
机柜组,,,,
04kV进线柜,=TA001.EY01.TE02.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.,LDC0401
总线式消防电话插孔,=TA001.TB01.TN01.BF02.XG03,++BF02.,,
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N2.BG02,MDS0118
10KV进线柜,=TA001.EY01.TE01.,++BF01.US06.,===DY2.,HSC0402
出水闸门螺杆启闭机3,=TA001.BJ01.OU01.QB03,++BF02.,,
变压器室2电话、网络系统,=TA001.TB01.TN01.BF01.US10,,,
总线式消防电话插孔,=TA001.TB01.TN01.BF02.XG04,++BF02.,,
水泵软启柜 RQ4,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP8O.1,
智能单输入模块,=TA001.TB01.FA01.BF01.US05.KF01,++BF01.US05.,,
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N4.BG01,MDS0124
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N6.BG01,MDS0122
一位单控暗开关,=TA001.EY01.,++BF01.US07.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N4.SF01,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.12,
声光报警器,=TA001.TB01.FA01.BF01.US08.SG01,++BF01.US08.,,AVA0103
W通用管件,=TA001.ST01.TT01.UN.UN04,,,
控制室照明1,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N1,
三防内场固态灯 21W,=TA001.EY01.TE04.BF01.US06.EA08,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N4.BG01.,SSL0303
一位单控暗开关,=TA001.EY01.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F4.SF01,
出水闸门螺杆启闭机1,=TA001.BJ01.OU01.QB01,++BF02.,,
手动报警按钮: 标准,=TA001.TB01.FA01.ALRM.SF01,,,MFAB0101
管形母线桥架1配件,=TA001.EY01.TY01.UF.UN01,,,
2#进水电动闸门 ZM2,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.1.2,
吸顶式报警扬声器,=TA001.TB01.FA01.BF02.PJ03,++BF02.,,
接线端子箱控制室,=TA001.EY01.TE03.,++BF01.US05.,,ETB0101
庭院灯: WMX-N1,=TA001.EY01.TE04.BG01.EA01,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.N1.,GL0102
PLC/机架,,,,
W通用管件,=TA001.ST01.TT01.UN.UN08,,,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N9,
语音+数据点,=TA001.TB01.TN01.BF01.US06.TD03,++BF01.US06.,,
安全照明灯: MX1-N5,=TA001.EY01.TE04.BG01.EA12,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5.BG02.,SSL0205
火灾光报警器: 标准,=TA001.TB01.FA01.ALRM.SF09,,,AVA0102
J通用管件,=TA001.ST01.TS01.UN.UN13,,,
语音+数据点,=TA001.TB01.TN01.BF01.US07.TD01,++BF01.US07.,,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N8,
直流屏,=TA001.EY01.TE03.,++BF01.US05.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.4.,DCP0101
门厅空调,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N2,
管理房检修箱 JX2,=TA001.EY01.TE03.,++BF01.US06.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.7.,MB0501
室外照明配电箱 WMX,=TA001.EY01.TE03.,++BF01.US03.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.,OLDB0101
休息室1火灾报警系统,=TA001.TB01.FA01.BF01.US02,,,
低压配电间照明系统,=TA001.EY01.TE04.BF01.US09,,,
弱电桥架3配件,=TA001.EY01.TY01.RF.UN15,,,
庭院灯: WMX-N3,=TA001.EY01.TE04.BG01.EA06,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.N3.,GL0108
休息室2 分体式挂式空调,=TA001.TL01.BF01.EZ02,++BF01.US03.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N1.XD01.,
智能光电感烟探测器,=TA001.TB01.FA01.BF01.US01.BQ02,++BF01.US01.,,MDS0118
火灾声报警器: 标准,=TA001.TB01.FA01.ALRM.SF15,,,
吸顶式报警扬声器,=TA001.TB01.FA01.BF01.US06.PJ01,++BF01.US06.,,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N5,
变压室2走道,,++BF01.US11,,BF01US11
照明灯具: SMX1-N4,=TA001.EY01.TE04.BF01.US06.EA07,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N4.BG01.,SSL0302
高压配电室电话、网络系统,=TA001.TB01.TN01.BF01.US06,,,
管井4,,++BG01.GJ04,,GJ04
4#出水电动闸门 ZM8,=TA001.BJ01.OU01.FQ08,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.6.,GT0208
地板单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N1.XD02,PS0202
控制间空调,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N3,
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N6.BG03,MDS0111
总线式消防电话插孔,=TA001.TB01.TN01.BF02.XG02,++BF02.,,
火灾声报警器: 标准,=TA001.TB01.FA01.ALRM.SF16,,,
浮球阀 - 螺纹: 15 mm,=TA001.BJ01.FQFM.FLS0103,++BF02.US02.,,FLS0103
管型母线桥架,=TA001.EY01.TY01.QJ4,,,
庭院灯: WMX-N1,=TA001.EY01.TE04.BG01.EA04,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.N1.,GL0104
管形母线桥架2配件,=TA001.EY01.TY01.UF.UN08,,,
庭院灯: WMX-N3,=TA001.EY01.TE04.BG01.EA09,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.N3.,GL0110
标准计量柜1~2: 标准计量柜1~2,=TA001.EY01.TE03.,++BF01.US05.,,MC0101
给排水给水系统,=TA001.ST01.TS01,,,
水泵试验回水管闸门ZM4,=TA001.BJ01.OU01.FQ04,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.2.,GT0204
4#泵房风机,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.8.F4,
1#水泵电机,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP4O.1.1.1,
2#出水电动闸门 ZM6,=TA001.BJ01.OU01.FQ06,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.4.,GT0206
变压器室1火灾报警系统,=TA001.TB01.FA01.BF01.US07,,,
浮球阀 - 螺纹: 15 mm,=TA001.BJ01.FQFM.FLS0108,++BF02.US02.,,FLS0108
壁灯 - 托架: BMX1-N1,=TA001.EY01.TE04.BF02.EA11,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N1.,AGL0110
总线式消防电话插孔,=TA001.TB01.TN01.BF01.US11.XG01,,,
单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N5.XD01,PS0112
污水管1管件,=TA001.ST01.TT01.UN,,,
柜体正面安装板,,,,
庭院灯: WMX-N1,=TA001.EY01.TE04.BG01.EA02,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.N1.,GL0103
安全照明灯: MX1-N5,=TA001.EY01.TE04.BG01.EA16,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5.BG06.,SSL0206
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N3,
W三通管件,=TA001.ST01.TT01.UN.UN15,,,
雨量计: 雨量计,=TA001.BJ01.RN00.RT01,,,RG0101
照明灯具: SMX1-N6,=TA001.EY01.TE04.BF01.US09.EA06,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N6.BG03.,SSL0310
弱电消防系统,=TA001.TB01,,,
管理房检修箱 JX4,=TA001.EY01.TE03.,++BF01.US09.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.7.1.,MB0502
网络柜: 网络柜,=TA001.EY01.TE03.,++BF01.US05.,,NET0101
变配电间及管理房室内照明系统,=TA001.EY01.TE04.BF01,,,
泵房火灾报警系统,=TA001.TB01.FA01.BF02,,,
2#进水电动闸门 ZM2,=TA001.BJ01.IN01.FQ02,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.1.2.,GT0102
格栅间检修箱 JX5,=TA001.EY01.TE03.,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.11.,MB0301
火灾光报警器: 标准,=TA001.TB01.FA01.ALRM.SF10,,,AVA0103
卫生间排风扇,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N9,
PLC柜: PLC柜,=TA001.EY01.TE03.,++BF01.US05.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.6.,PLC0101
J变径管件,=TA001.ST01.TS01.UN.UN42,,,
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US08.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N3.BG02,MDS0121
管井1,,++BG01.GJ01,,GJ01
1#变温控电源,,,===DY1.AH1.H01.ZB1.C1DP1.2,
智能光电感烟探测器,=TA001.TB01.FA01.BF01.US06.BQ01,++BF01.US06.,,MDS0102
智能光电感烟探测器,=TA001.TB01.FA01.BF02.BQ02,++BF02.,,ISD0102
管理房检修箱 JX4,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.7.1,
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ08,,,ISD0105
照明灯具: MX1-N2,=TA001.EY01.TE04.BF01.US01.EA02,++BF01.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N2.BG01.,FPL0113
空调插座,=TA001.EY01.TE03.,++BF01.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N4.XD01,PS0504
0.4KV馈线柜,=TA001.EY01.TE02.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.,LDC0302
三防内场固态灯 40W,=TA001.EY01.TE04.BF01.US09.EA15,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N7.BG02.,SSL0414
超声波液位计LT6,=TA001.BJ01.TS01.BL06,++BF02.US02.,,ULG0106
语音+数据点1,=TA001.TB01.TN01.BF02.TD01,++BF02.,,
防水型单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US04.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N8.XD01,PS0301
格栅间检修箱 JX6,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.11.1,
休息室2照明系统,=TA001.EY01.TE04.BF01.US03,,,
交流屏 K1（备）,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.9,
变压器室1照明系统,=TA001.EY01.TE04.BF01.US07,,,
J通用管件,=TA001.ST01.TS01.UN.UN28,,,
W变径管件,=TA001.ST01.TT01.UN.UN23,,,
声光报警器,=TA001.TB01.FA01.BF02.SG02,++BF02.,,AVA0105
照明灯具: SMX1-N7,=TA001.EY01.TE04.BF01.US09.EA11,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N7.BG01.,SSL0410
泵房风机控制箱 K5,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.8,
W三通管件,=TA001.ST01.TT01.UN.UN13,,,
管理房空调配电箱 KX,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4,
交流屏 K1(常）,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N4,
水泵软启柜 RQ2,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP5O.1,
管理房照明配电箱 MX1,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2,
管形母线桥架1配件,=TA001.EY01.TY01.UF.UN03,,,
J通用管件,=TA001.ST01.TS01.UN.UN07,,,
安全照明灯: SMX1-N1,=TA001.EY01.TE04.BF01.US03.EA03,++BF01.US03.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N1.,EEL0203
吸顶式报警扬声器,=TA001.TB01.FA01.BF01.US01.PJ01,++BF01.US01.,,
备用,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.14,
2#泵房风机,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.8.F2,
0.4KV出线,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O,
3-5轴泵房照明2,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N2,
泵站检修箱 JX1,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.6,MB0101
休息室2,,++BF01.US03,,BF01US03
智能单输入模块,=TA001.TB01.FA01.BF01.US09.KF01,++BF01.US09.,,
壁灯 - 托架: BMX1-N1,=TA001.EY01.TE04.BF02.EA12,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N1.,AGL0114
J通用管件,=TA001.ST01.TS01.UN.UN20,,,
移动加日光感应探头,=TA001.EY01.TE04.,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5.BG02,MDS0117
消防烟传感器,=TA001.TB01.FA01.FRSN,,,
接地端子箱东泵站,=TA001.EY01.TE03.,++BF02.,,ETB0102
10KV电压互感器柜,=TA001.EY01.TE01.,++BF01.US06.,===DY2.AH12.,HSC0302
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ03,++BF01.US10.,,ISD0113
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N7.BG02,MDS0103
W三通管件,=TA001.ST01.TT01.UN.UN17,,,
语音+数据点8,=TA001.TB01.TN01.BF02.TD08,++BF02.,,
弱电桥架1配件,=TA001.EY01.TY01.RF.UN02,,,
热水器: 热水器,=TA001.ST01.TS01.EB01,++BF01.US04.,,EWH0101
休息室照明,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N1,
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N6.BG02,MDS0123
照明灯具: SMX1-N2,=TA001.EY01.TE04.BF01.US05.EA09,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N2.BG01.,FPL0111
空调插座,=TA001.EY01.TE03.,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N3.XD01,PS0503
智能光电感烟探测器,=TA001.TB01.FA01.BF02.BQ03,++BF02.,,ISD0115
手动报警按钮: 标准,=TA001.TB01.FA01.ALRM.SF06,,,MFAB0106
W三通管件,=TA001.ST01.TT01.UN.UN14,,,
J通用管件,=TA001.ST01.TS01.UN.UN22,,,
感应式台式洗脸盆,=TA001.ST01.TS01.LP01,++BF01.US04.,,
照明灯具: SMX1-N5,=TA001.EY01.TE04.BF01.US06.EA05,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N5.BG01.,SSL0405
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N6.BG04,MDS0112
弱电桥架配件,=TA001.EY01.TY01.RF,,,
1#出水电动闸门 ZM5,=TA001.BJ01.OU01.FQ05,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.3.,GT0205
J通用管件,=TA001.ST01.TS01.UN.UN23,,,
管形母线桥架1配件,=TA001.EY01.TY01.UF.UN02,,,
备用,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.12,
弱电桥架3配件,=TA001.EY01.TY01.RF.UN03,,,
照明灯具: SMX1-N7,=TA001.EY01.TE04.BF01.US09.EA07,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N7.BG01.,SSL0415
电气系统,=TA001.EY01,,,
壁灯 - 托架: BMX2-N2,=TA001.EY01.TE04.BF02.EA07,++BF02.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N2.,AGL0106
10KV进线1,,,===DY1,
备用,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.12,
弱电桥架3配件,=TA001.EY01.TY01.RF.UN14,,,
安全照明灯: SMX1-N1,=TA001.EY01.TE04.BF01.US01.EA06,++BF01.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N1.,EEL0201
火灾自动报警系统,=TA001.TB01.FA01,,,
接地端子箱低压配电室1,=TA001.EY01.TE03.,++BF01.US05.,,ETB0103
休息室2火灾报警系统,=TA001.TB01.FA01.BF01.US03,,,
庭院灯,=TA001.EY01.TE04.BG01.EA07,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.N3.,GL0107
J变径管件,=TA001.ST01.TS01.UN.UN40,,,
壁灯 - 托架: BMX1-N1,=TA001.EY01.TE04.BF02.EA14,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N1.,AGL0116
0.4KV供电2,,,===DY2.AH12.H02.ZB2.D1DP12,
智能单输入模块,=TA001.TB01.FA01.BF01.US07.KF01,++BF01.US07.,,
4#水泵电机,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP8O.1.1.1,
浮球液位开关2,=TA001.BJ01.TS01.BL10,++BF02.,,
安全照明灯: MX1-N5,=TA001.EY01.TE04.BG01.EA11,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5.BG01.,SSL0204
水泵软启柜 RQ5,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP9O.1,
照明灯具: MX1-N1,=TA001.EY01.TE04.BF01.US03.EA02,++BF01.US03.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N1.BG02.,FPL0120
J通用管件,=TA001.ST01.TS01.UN.UN04,,,
吸顶式报警扬声器,=TA001.TB01.FA01.BF02.PJ01,++BF02.,,
J通用管件,=TA001.ST01.TS01.UN.UN18,,,
并联,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.SPD,
语音+数据点4,=TA001.TB01.TN01.BF02.TD04,++BF02.,,
水泵软启柜 RQ5,=TA001.EY01.TE03.,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP9O.1.,
回笼水电动闸门 ZM4,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.2,
ZB2变压器,,,===DY2.AH12.H02.ZB2,
动力桥架,=TA001.EY01.TY01.QJ7,,,
W变径管件,=TA001.ST01.TT01.UN.UN21,,,
泵站检修箱 JX3,=TA001.EY01.TE03.,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.6.1.,MB0201
照明灯具: SMX1-N6,=TA001.EY01.TE04.BF01.US09.EA05,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N6.BG04.,SSL0309
0.4KV出线,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP9O,
6#管理房风机,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F6,
3#泵房风机,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.8.F3,
移动加日光感应探头,=TA001.EY01.TE04.,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5.BG01,MDS0116
庭院灯: WMX-N1,=TA001.EY01.TE04.BG01.EA03,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.N1.,GL0101
W通用管件,=TA001.ST01.TT01.UN.UN09,,,
浮球阀 - 螺纹: 15 mm,=TA001.BJ01.FQFM.FLS0104,++BF02.US02.,,FLS0104
1#管理房风机,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F1,
J通用管件,=TA001.ST01.TS01.UN.UN09,,,
