名称,工艺功能,位置,电源功能,设备编码
管理房照明配电箱 MX1,=TA001.EY01.TE03.,++BF01.US03.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.,DB0401
照明灯具: MX1-N2,=TA001.EY01.TE04.BF01.US01.EA01,++BF01.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N2.BG01.,FPL0117
4#水泵按钮箱GK4,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP8O.1.1,
一位单控暗开关,=TA001.EY01.,++BF01.US10.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N4.SF02,
语音+数据点,=TA001.TB01.TN01.BF01.US06.TD01,++BF01.US06.,,
高压配电室照明2,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N5,
XBDZ-3.6（风机）: K4-1,=TA001.TL01.BF01.GQ01,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F1.SF01.,AF0101
J通用管件,=TA001.ST01.TS01.UN.UN24,,,
单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N3.XD01,PS0109
2#出水电动闸门 ZM6,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.4,
起重机接电装置,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.3.1,
壁灯 - 托架: BMX2-N2,=TA001.EY01.TE04.BF02.EA06,++BF02.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N2.,AGL0105
高天棚灯具 - 吊杆安装: BMX1-N2,=TA001.EY01.TE04.BF02.EA21,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N2.,HCL0102
J通用管件,=TA001.ST01.TS01.UN.UN15,,,
移动加日光感应探头,=TA001.EY01.TE04.,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N5.BG04,MDS0108
壁灯: BMX1-N4,=TA001.EY01.TE04.BF02.EA23,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N4.,WL0101
声光报警器,=TA001.TB01.FA01.BF01.US11.SG01,++BF01.US11.,,AVA0102
备用,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.1.6,
DP2-DP6 0.4KV进线,,,===DY1.AH1.H01.ZB1.C1DP1.3,
集水池电动闸门 ZM3,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.1,
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ07,,,ISD0104
安全照明灯: MX1-N4,=TA001.EY01.TE04.BF01.US07.EA01,++BF01.US07.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N4.SF01.,AGL0102
吸顶式报警扬声器,=TA001.TB01.FA01.BF01.US11.PJ01,++BF01.US11.,,
J通用管件,=TA001.ST01.TS01.UN.UN17,,,
XBDZ-5（风机）: K5-2,=TA001.TL01.BF02.GQ02,++BF02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.8.F2.,AF0202
04kV进线柜,=TA001.EY01.TE02.,++BF01.US09.,===DY2.AH12.H02.ZB2.D1DP12.,LDC0402
超声波液位计LT7,=TA001.BJ01.TS01.BL07,++BF02.US02.,,ULG0107
梯形桥架配件,=TA001.EY01.TY01.EF,,,
低压配电间,,++BF01.US09,,BF01US09
安全照明灯: MX1-N3,=TA001.EY01.TE04.BF01.US08.EA01,++BF01.US08.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N3.BG02.,SSL0106
照明系统,=TA001.EY01.TE04,,,
泵站变配电间及管理房,,++BF01,,
雨水泵_GK2-1,=TA001.BJ01.PP01.GP02,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP5O.1.1.1.,CP0102
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N8,
0.4KV无功补偿柜,=TA001.EY01.TE02.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.,LDC0201
变压室1走道,,++BF01.US08,,BF01US08
给排水系统,=TA001.ST01,,,
语音+数据点,=TA001.TB01.TN01.BF01.US01.TD01,++BF01.US01.,,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N10,
J通用管件,=TA001.ST01.TS01.UN.UN11,,,
东泵站,=TA001,,,
给水管1管件,=TA001.ST01.TS01.UN,,,
J变径管件,=TA001.ST01.TS01.UN.UN38,,,
